input_variable,impact_cd_unit,impact_manpower_with_sorter,impact_manpower_without_sorter
out_docs,2.2811775876901,7.746895328208156,6.569709127382155
out_non_docs,0.0,39.79893554109994,48.09428284854563
out_air,0.0,0.5913660555884046,0.5015045135406303
out_surface,0.0,0.0,0.0
out_ndx_out_vol,26.503720826356375,4.376108811354226,3.711133400200612
out_ndx_vol_wt,81.84730471264069,14.547604967474866,12.33701103309931
in_docs,2.182748784798033,7.037256061502076,5.967903711133406
in_non_docs,0.0,38.85274985215848,47.342026078234724
in_air,0.0,0.0,0.0
in_surface,0.0,0.0,0.0
in_ndx_out_vol,29.841075783936095,4.849201655824956,4.112337011033099
in_ndx_vol_wt,71.39800700708417,12.418687167356598,10.531594784353063
at,0.0,-37.196924896510936,-40.37111334002005
