shift_slots,out_docs,out_non_docs,out_air,out_surface,out_ndx_out_vol,out_ndx_vol_wt,in_docs,in_non_docs,in_air,in_surface,in_ndx_out_vol,in_ndx_vol_wt,sorter,at,manpower_with_sorter,manpower_without_sorter
12PM-8PM,92838.04347826086,151171.5652173913,29159.82608695652,214849.78260869565,151171.5652173913,496248.2915652174,87734.78260869565,119680.0,95072.04347826086,112342.73913043478,119680.0,360584.49169565213,0.4782608695652174,7.0,19.26086956521739,22.043478260869566
6AM-12PM,106972.13043478261,111303.34782608696,76453.78260869565,141821.69565217392,111303.34782608696,279619.1369130435,103939.08695652174,148875.5652173913,67849.73913043478,184964.91304347827,148875.5652173913,410573.0238695652,0.4782608695652174,7.0,17.869565217391305,20.565217391304348
8PM-6AM,265622.17391304346,356443.39130434784,165441.95652173914,456623.60869565216,356443.39130434784,1014472.1533913044,265682.6956521739,342964.347826087,81275.56521739131,527371.4782608695,342964.347826087,892526.0479130435,0.4782608695652174,7.0,36.391304347826086,44.08695652173913
