zone,out_docs,out_non_docs,out_air,out_surface,out_ndx_out_vol,out_ndx_vol_wt,in_docs,in_non_docs,in_air,in_surface,in_ndx_out_vol,in_ndx_vol_wt,sorter,at,manpower_with_sorter,manpower_without_sorter
East,21103.0,34414.0,2201.0,57253.0,34414.0,149914.379,15560.0,60047.0,26730.0,36120.0,60047.0,160193.699,0.0,7.0,11.0,11.0
North,111118.0,124063.0,33895.0,266845.0,124063.0,364682.779,69631.0,95495.0,27580.0,142253.0,95495.0,321320.868,1.0,7.0,16.0,18.0
South,90673.5,184518.5,5787.5,266514.5,184518.5,571546.9695,80572.5,193150.5,66219.5,192445.5,193150.5,536944.0805,0.5,7.0,23.0,27.0
West,65896.0,107050.0,25477.0,160089.0,107050.0,231123.629,61632.0,108635.0,69197.0,101003.0,108635.0,319233.519,1.0,7.0,18.0,20.0
