zone,out_docs,out_non_docs,out_air,out_surface,out_ndx_out_vol,out_ndx_vol_wt,in_docs,in_non_docs,in_air,in_surface,in_ndx_out_vol,in_ndx_vol_wt,manpower_with_sorter,manpower_without_sorter
East,44360.4,76144.0,23775.666666666668,96728.73333333334,76144.0,270908.0588,42925.13333333333,73279.4,36484.26666666667,79720.26666666666,73279.4,238178.1072666667,12.866666666666667,14.333333333333334
North,292587.86666666664,365521.86666666664,186350.66666666666,471759.06666666665,365521.86666666664,1082295.9883333333,286930.5333333333,365410.4666666667,113451.13333333333,538889.8666666667,365410.4666666667,941031.7628666667,39.666666666666664,47.86666666666667
South,129917.88888888889,207879.38888888888,50295.27777777778,287502.0,207879.38888888888,634535.3032222223,125348.66666666667,202568.22222222222,73849.88888888889,254067.0,202568.22222222222,609645.5731666667,24.11111111111111,28.555555555555557
West,157723.7142857143,184204.95238095237,103669.90476190476,238258.7619047619,184204.95238095237,450386.39133333333,157861.42857142858,182780.09523809524,97057.61904761905,243583.90476190476,182780.09523809524,457283.50433333335,22.333333333333332,26.047619047619047
