zone,out_docs,out_non_docs,out_air,out_surface,out_ndx_out_vol,out_ndx_vol_wt,in_docs,in_non_docs,in_air,in_surface,in_ndx_out_vol,in_ndx_vol_wt,sorter,at,manpower_with_sorter,manpower_without_sorter
East,1978,10473,0,423,10473,17828.623,1583.0,1439.0,60.0,2962.0,1439.0,5704.603,0,7,9.0,14.0
North,454260,443275,0,551152,443275,1070586.367,317662.0,439161.0,157278.0,376967.0,439161.0,1149262.525,1,7,7.0,8.0
South,3332,7341,0,11396,7341,11236.438,7168.0,15463.0,1653.0,311.0,15463.0,33229.676,0,7,9.0,8.0
West,103493,107050,31,210512,107050,231123.629,242605.0,170179.0,186118.0,163007.0,170179.0,347680.506,1,7,9.0,9.0
