apex_branch,manpower_with_sorter,manpower_without_sorter,per_day_dox_per_manpower_without_sorter,per_day_ndx_per_manpower_without_sorter
A01,19.666666666666668,23.0,178.65392156862745,292.2421568627451
A04,12.333333333333334,13.666666666666666,43.28985507246377,219.18236714975845
B10,34.333333333333336,41.333333333333336,205.8061353573688,348.5708638294027
C20,30.333333333333332,36.333333333333336,203.13957816377172,317.7047146401985
C42,8.0,8.333333333333334,237.4212962962963,220.7314814814815
E01,12.0,12.666666666666666,115.52486772486772,214.90264550264553
H13,38.333333333333336,46.666666666666664,207.72538381159072,343.82102188998743
I01,9.666666666666666,9.666666666666666,180.54208754208753,153.11784511784512
J29,8.666666666666666,8.333333333333334,94.66666666666667,90.5138888888889
K16,16.666666666666668,20.333333333333332,305.8932178932179,289.5541125541126
K95,15.666666666666666,18.333333333333332,24.301321485532014,289.56983367509685
L04,9.666666666666666,10.666666666666666,251.47023809523807,215.2780112044818
M10,40.333333333333336,48.333333333333336,384.7853260373917,320.2986411308709
N05,81.33333333333333,100.33333333333333,294.18440580135496,360.03893658130943
O06,21.666666666666668,26.0,140.11662698412698,327.60325396825397
P01,25.333333333333332,30.666666666666668,232.11081054495375,299.1061381074169
R01,8.666666666666666,8.666666666666666,218.75925925925927,114.94444444444444
T02,9.333333333333334,9.0,73.78425925925926,117.72314814814816
U43,17.333333333333332,19.666666666666668,173.11199294532628,283.8042328042328
W53,8.666666666666666,9.0,151.94907407407408,123.09444444444443
X01,14.0,15.0,62.14492753623188,230.8247694334651
